interaction_bin,n_users,precision@20,recall@20,ndcg@20,precision@20_norm,recall@20_norm,ndcg@20_norm
ALL,,0.019386668337301093,0.07434793532143619,0.04747552656546507,1.0,1.0,1.0
0-9,6058,0.010003301419610432,0.07494222515681741,0.03987222119732766,0.5159886807556041,1.007993360310705,0.8398478981027616
10-19,6123,0.01533561979421852,0.07529261255375905,0.04528142711987227,0.7910394672978381,1.0127061663278023,0.9537846211654482
20-29,1775,0.025295774647887324,0.07207131678962664,0.05201164962282029,1.3048025688465905,0.9693788600589,1.0955465559944924
30-39,781,0.03610755441741357,0.07320968972697527,0.06128433330239242,1.8624940494773157,0.9846902864277289,1.290861581448414
40-49,473,0.04281183932346723,0.06758604327314686,0.060522613124750615,2.208313392409707,0.9090507084150363,1.2748171005811726
50-59,267,0.05880149812734082,0.07516234958402837,0.07529691946435542,3.0330893944372725,1.0109540938705446,1.5860154675804767
60+,485,0.09463917525773197,0.0713096415435235,0.10326813376268049,4.881662677214146,0.9591341203386897,2.175186695829097
